"","Time","TS..Surface.temperature.","T2M..2m_Temperature.","H..Averaged_Sensible_Heat_Flux.","LE..Averaged_Total_Latent_Heat_Flux.","GFLUX..Averaged_Ground_Heat_Flux.","Air.Temperature.0m..Height...0.","Air.Temperature.2m..Height...2.","Relative.Humidity.2m..Height...2.","Rainfall.Amount..Height...0.","Snowfall.Amount..Height...0.","Wind.Speed..Height...10.","Snowfall.Amount.Acc..Height...0.","Precipitation.Amount.Acc..Height...0.","Surface Downwelling Shortwave Flux In Air (Height = 0)"
"1084","2013-06-28 18:00:00",279.468048095703,283.879364013672,-54.0499496459961,-0.410889387130737,98.1213760375977,279.472930908203,283.878784179688,0.746426463127136,0,0,5.34061765670776,0,0,89.5509414672852
"1085","2013-06-29 00:00:00",284.534606933594,286.740936279297,10.9451017379761,30.2208843231201,247.222183227539,284.564880371094,286.748168945312,0.78260600566864,0,0,2.01350975036621,0,0,359.476318359375
"1086","2013-06-29 06:00:00",283.955932617188,287.104400634766,14.3450164794922,-1.99895477294922,211.014862060547,283.980682373047,287.11181640625,0.79019421339035,0,0,4.40385293960571,0,0.00101148535031825,303.102111816406
"1087","2013-06-29 12:00:00",279.813598632812,284.734985351562,-45.1169967651367,-21.4902572631836,62.4515533447266,279.818481445312,284.73974609375,0.741583704948425,0,0,4.02896165847778,0,0,23.3149528503418
"1088","2013-06-29 18:00:00",280.087432861328,284.009735107422,-33.5932693481445,-13.2694473266602,92.9007949829102,280.090972900391,284.014038085938,0.752872943878174,0,0,4.03251934051514,0,0,69.1520080566406
"1089","2013-06-30 00:00:00",281.303375244141,283.796020507812,-33.6681900024414,8.05661678314209,184.942276000977,281.307189941406,283.802734375,0.85063910484314,0,0,6.79778814315796,0,1.24302625656128,189.050765991211
"1090","2013-06-30 06:00:00",278.920745849609,282.003021240234,-58.1201248168945,5.45077610015869,92.1672668457031,278.921844482422,282.009490966797,0.830372512340546,1.58474460931757e-06,0,6.1188817024231,0,1.49755442142487,34.6448593139648
"1091","2013-06-30 12:00:00",277.793853759766,282.129791259766,-27.9834575653076,-3.18342351913452,4.4564847946167,277.800659179688,282.134643554688,0.792760729789734,0,0,1.98151612281799,0,0.674860298633575,27.9521522521973
"1092","2013-06-30 18:00:00",278.874206542969,282.472808837891,-20.3570919036865,-6.68877172470093,76.5743713378906,278.876770019531,282.481018066406,0.85151880979538,0,0,1.49170875549316,0,0.0005332445143722,112.217247009277
"1093","2013-07-01 00:00:00",285.236968994141,286.469512939453,13.4187488555908,57.0566101074219,255.759185791016,285.261016845703,286.475738525391,0.792142689228058,0,0,1.26717555522919,0,0,420.769958496094
"1094","2013-07-01 06:00:00",284.51708984375,287.990783691406,-3.74883937835693,15.9389905929565,150.521362304688,284.539611816406,287.994171142578,0.744003057479858,0,0,1.58716642856598,0,0,220.901428222656
"1095","2013-07-01 12:00:00",280.575378417969,285.8076171875,-33.4960174560547,-17.1169586181641,42.3507499694824,280.579132080078,285.812194824219,0.771352767944336,0,0,2.01136374473572,0,0,24.8097801208496
"1096","2013-07-01 18:00:00",280.892028808594,284.594909667969,-27.8421173095703,-16.1075439453125,71.6754684448242,280.895446777344,284.600738525391,0.806469798088074,2.00734320969786e-05,0,1.38502156734467,0,0.018837682902813,28.965311050415
"1097","2013-07-02 00:00:00",281.587341308594,283.942504882812,-26.7125301361084,-18.905086517334,69.8152084350586,281.591979980469,283.946624755859,0.95535671710968,0.000316968216793612,0,2.04141306877136,0,20.9444332122803,15.7045984268188
"1098","2013-07-02 06:00:00",283.103668212891,284.973663330078,-22.1695384979248,-0.411713898181915,46.4883460998535,283.108459472656,284.976257324219,0.900287628173828,1.78914888238069e-05,0,2.05668473243713,0,13.4312076568604,18.1712818145752
"1099","2013-07-02 12:00:00",281.461517333984,282.629852294922,-40.5624122619629,18.914514541626,-4.75143527984619,281.465179443359,282.634094238281,0.89897084236145,0,0,5.83475542068481,0,2.63193130493164,29.8127861022949
"1100","2013-07-02 18:00:00",280.659729003906,280.916595458984,-22.1629085540771,6.14337968826294,18.0602416992188,280.666137695312,280.919067382812,0.971933424472809,0.000452970591140911,0,9.50580787658691,0,9.23172187805176,11.0466547012329
"1101","2013-07-03 00:00:00",280.499176025391,280.271636962891,4.33596038818359,30.0428619384766,13.4978981018066,280.506591796875,280.277557373047,0.965525090694427,1.20870772661874e-05,0,9.46118640899658,0,10.6903696060181,61.3207702636719
"1102","2013-07-03 06:00:00",283.297058105469,282.303436279297,22.9462299346924,64.2134170532227,92.4378280639648,283.299530029297,282.311004638672,0.904902994632721,0,0,3.70486426353455,0,0.322306275367737,243.620803833008
"1103","2013-07-03 12:00:00",280.835021972656,281.965637207031,-12.6149826049805,-0.548246324062347,10.9269256591797,280.842193603516,281.969451904297,0.921429872512817,0,0,1.62311577796936,0,0.508711397647858,7.55771541595459
"1104","2013-07-03 18:00:00",280.516754150391,281.379547119141,-22.7400970458984,23.3473358154297,19.4833316802979,280.524047851562,281.382690429688,0.879515707492828,5.65018126508221e-05,0,4.07297039031982,0,0.277818471193314,40.508861541748
"1105","2013-07-04 00:00:00",288.975799560547,285.452117919922,63.9377250671387,138.742141723633,119.337760925293,288.988311767578,285.460479736328,0.894124329090118,0,0,2.20835423469543,0,0.181182593107224,435.248382568359
"1106","2013-07-04 06:00:00",287.512786865234,285.557373046875,60.3297004699707,115.855537414551,57.7032775878906,287.520416259766,285.564025878906,0.916663348674774,0,0,4.27835655212402,0,0.00767945731058717,332.073699951172
"1107","2013-07-04 12:00:00",281.753845214844,284.023193359375,-23.9873580932617,1.12425029277802,-10.2325735092163,281.757415771484,284.028472900391,0.851437151432037,0,0,1.88275671005249,0,0.00855803303420544,29.2466201782227
"1108","2013-07-04 18:00:00",281.9755859375,283.952056884766,-21.2552890777588,11.4239368438721,61.9139137268066,281.978912353516,283.958557128906,0.82751053571701,0,0,1.95160293579102,0,0.000441078824223951,127.438903808594
"1109","2013-07-05 00:00:00",288.287414550781,287.687591552734,7.40091371536255,50.5145454406738,62.8381385803223,288.29443359375,287.69287109375,0.808516979217529,0,0,1.06770145893097,0,0.00236492068506777,179.683441162109
"1110","2013-07-05 06:00:00",282.830322265625,282.796112060547,-5.92097187042236,59.4142074584961,-8.86368751525879,282.833465576172,282.801940917969,0.956746816635132,0.000121362165373284,0,12.4353523254395,0,1.68465268611908,64.5205993652344
"1111","2013-07-05 12:00:00",280.282867431641,280.681213378906,-34.2336502075195,19.6616992950439,-18.754186630249,280.289703369141,280.684661865234,0.944709718227386,0,0,10.2165832519531,0,2.74498462677002,29.0832443237305
"1112","2013-07-05 18:00:00",279.800231933594,279.656799316406,-1.96217381954193,22.2001800537109,22.8794002532959,279.810974121094,279.660675048828,0.957613289356232,0,0,7.1597695350647,0,0.705260515213013,113.022621154785
"1113","2013-07-06 00:00:00",285.299774169922,283.078643798828,97.1696472167969,168.529571533203,91.9677124023438,285.305511474609,283.082183837891,0.872353315353394,6.98600466364496e-09,0,6.63168811798096,0,0.000167779668117873,480.250366210938
"1114","2013-07-06 06:00:00",285.041259765625,282.611694335938,96.1771926879883,65.3025817871094,76.0725784301758,285.049072265625,282.614440917969,0.859708309173584,0,0,5.95355987548828,0,0.00222582346759737,338.799224853516
"1115","2013-07-06 12:00:00",281.386535644531,281.820556640625,-23.2873611450195,3.29188108444214,5.11723852157593,281.390075683594,281.823394775391,0.796960830688477,2.21390905608132e-07,0,7.05878067016602,0,0.0089837433770299,11.8728380203247
"1116","2013-07-06 18:00:00",281.665740966797,282.963256835938,-25.7182559967041,11.3740663528442,62.4163093566895,281.673370361328,282.970642089844,0.778050124645233,0,0,3.22382092475891,0,0,115.71509552002
"1117","2013-07-07 00:00:00",283.8095703125,284.052337646484,-7.26987409591675,33.5125846862793,15.1193046569824,283.816680908203,284.055969238281,0.858259797096252,3.48709534137015e-07,0,6.04271507263184,0,0.54677677154541,55.4819450378418
