"","Time","TS..Surface.temperature.","T2M..2m_Temperature.","H..Averaged_Sensible_Heat_Flux.","LE..Averaged_Total_Latent_Heat_Flux.","Air.Temperature.0m..Height...0.","Air.Temperature.2m..Height...2.","Relative.Humidity.2m..Height...2.","Rainfall.Amount..Height...0.","Snowfall.Amount..Height...0.","Wind.Speed..Height...10.","Snowfall.Amount.Acc..Height...0.","Precipitation.Amount.Acc..Height...0.","Surface Downwelling Shortwave Flux In Air (Height = 0)"
"882","2014-05-09 06:00:00",272.3310546875,274.449890136719,-12.6737070083618,12.3705224990845,272.334167480469,274.456420898438,0.661151885986328,0,0,2.46411371231079,0,0,94.5935592651367
"883","2014-05-09 12:00:00",266.124114990234,272.618591308594,-44.5403022766113,0.496691942214966,266.132934570312,272.615844726562,0.603570103645325,0,0,2.96971654891968,0,0,0
"884","2014-05-09 18:00:00",266.746948242188,272.346923828125,-40.7498626708984,5.67287588119507,266.756500244141,272.345611572266,0.593283772468567,0,0,3.20886325836182,0,0,28.0760555267334
"885","2014-05-10 00:00:00",275.545593261719,275.234344482422,1.33094501495361,15.2190628051758,275.548828125,275.238891601562,0.683588027954102,0,0,1.26518714427948,0,0,118.151550292969
"886","2014-05-10 06:00:00",274.836090087891,275.762054443359,-2.34953474998474,6.40832948684692,274.837829589844,275.765747070312,0.702452301979065,0,0,0.474511563777924,0,0,79.8302459716797
"887","2014-05-10 12:00:00",266.414306640625,272.538024902344,-30.9338417053223,-8.47631549835205,266.425323486328,272.534149169922,0.792272627353668,0,0,2.14308953285217,0,0,0
"888","2014-05-10 18:00:00",268.952484130859,272.000183105469,-38.9526748657227,-2.11466765403748,268.954345703125,272.001220703125,0.811351776123047,0,0,5.28145980834961,0.197920486330986,0.48168808221817,23.9302864074707
"889","2014-05-11 00:00:00",274.467498779297,275.029418945312,-2.69752430915833,16.1542224884033,274.474761962891,275.036315917969,0.714017927646637,0,0,2.33966398239136,0.127788558602333,0.144499331712723,163.460891723633
"890","2014-05-11 06:00:00",274.018341064453,274.789672851562,-3.30816292762756,7.97769832611084,274.024444580078,274.797424316406,0.760867357254028,0,0,1.6236846446991,0.00870678387582302,0.0185302849858999,111.654678344727
"891","2014-05-11 12:00:00",266.575805664062,270.4873046875,-12.628098487854,-6.32012748718262,266.590423583984,270.477661132812,0.961243152618408,8.58403325310064e-07,2.39362464071746e-07,1.34220564365387,0.0627305880188942,0.0938340052962303,0
"892","2014-05-11 18:00:00",271.798095703125,271.694122314453,-2.34945034980774,2.56571984291077,271.795654296875,271.690704345703,0.975264251232147,1.00484146514646e-06,0.000108413849375211,6.50974082946777,0.568745791912079,0.598630011081696,12.2471580505371
"893","2014-05-12 00:00:00",274.326690673828,272.541625976562,12.3587589263916,11.4731941223145,274.330810546875,272.537170410156,0.990267693996429,1.15061664018867e-06,4.217824243824e-05,3.24090218544006,0.438904851675034,0.449870944023132,111.865715026855
"894","2014-05-12 06:00:00",273.858734130859,273.43408203125,1.70263338088989,6.09270715713501,273.865081787109,273.435424804688,0.903047919273376,4.36625313682271e-08,0,1.85774600505829,0.759995818138123,0.811754703521729,95.6814727783203
"895","2014-05-12 12:00:00",268.065155029297,270.393310546875,-38.8867073059082,-2.59381580352783,268.074340820312,270.388031005859,0.854725658893585,0,0,6.59472370147705,0.0135206142440438,0.0161916632205248,0
"896","2014-05-12 18:00:00",267.517974853516,269.013702392578,-26.1514186859131,6.35915327072144,267.520477294922,269.007995605469,0.848889648914337,0,0,6.76443576812744,0.00178627960849553,0.00369574432261288,25.5470962524414
"897","2014-05-13 00:00:00",273.739318847656,270.773223876953,20.3469276428223,27.1526489257812,273.745483398438,270.768005371094,0.83912193775177,1.63216054005488e-08,5.98608153268287e-07,2.85342884063721,0.0233805496245623,0.0239166226238012,112.415344238281
"898","2014-05-13 06:00:00",270.122833251953,269.246887207031,8.43197250366211,25.3976020812988,270.125732421875,269.246185302734,0.835070490837097,0,4.53137909062207e-06,6.08503818511963,0.441319674253464,0.443975538015366,116.383758544922
"899","2014-05-13 12:00:00",263.901824951172,266.216522216797,-42.6740379333496,2.1135528087616,263.922973632812,266.211029052734,0.811623871326447,0,0,7.08694887161255,0.00278111174702644,0.00357120810076594,0
"900","2014-05-13 18:00:00",264.530822753906,265.923431396484,-29.6351928710938,-1.18448519706726,264.553131103516,265.917663574219,0.893617749214172,0,4.95063541166019e-05,7.39491748809814,0.484325081110001,0.484325081110001,28.9674911499023
"901","2014-05-14 00:00:00",270.895080566406,269.106628417969,24.5246105194092,28.3805122375488,270.894073486328,269.10009765625,0.901906371116638,0,0.000141200522193685,7.08369731903076,0.791497230529785,0.791505932807922,96.9170303344727
"902","2014-05-14 06:00:00",269.244323730469,269.380493164062,-8.31003189086914,34.6361083984375,269.249359130859,269.375091552734,0.75849461555481,0,0,8.83937072753906,0.266688138246536,0.27069965004921,119.176086425781
"903","2014-05-14 12:00:00",264.825439453125,266.867218017578,-48.7799186706543,1.59544229507446,264.841796875,266.859497070312,0.846739172935486,0,0,9.35744857788086,0.0313037484884262,0.0328996032476425,0.126627638936043
"904","2014-05-14 18:00:00",265.494873046875,267.009765625,-36.3230781555176,5.55557632446289,265.512329101562,267.003814697266,0.841147601604462,0,0,8.70902633666992,2.09580139198806e-06,2.09580139198806e-06,31.2506160736084
"905","2014-05-15 00:00:00",271.200469970703,270.167572021484,11.8808937072754,37.0839881896973,271.201507568359,270.160980224609,0.780293405056,0,0,6.46971464157104,0.019919266924262,0.019919266924262,186.270202636719
"906","2014-05-15 06:00:00",272.647155761719,271.615356445312,2.97674798965454,11.0446901321411,272.649383544922,271.612365722656,0.759214282035828,0,0,1.14468824863434,0.0183884892612696,0.0183885283768177,122.379402160645
"907","2014-05-15 12:00:00",263.031768798828,269.211059570312,-33.3580169677734,-1.06065833568573,263.055450439453,269.207794189453,0.665704131126404,0,0,2.31149482727051,6.6916491050506e-06,6.61646208754973e-06,0.528106510639191
"908","2014-05-15 18:00:00",266.050994873047,271.422180175781,-24.1774368286133,2.95565724372864,266.062652587891,271.416748046875,0.625161588191986,0,0,2.00598502159119,0,0,35.8082885742188
"909","2014-05-16 00:00:00",275.472320556641,275.408172607422,1.09536337852478,25.0538082122803,275.47802734375,275.412475585938,0.820617377758026,0,0,4.64339113235474,0,0,134.24787902832
"910","2014-05-16 06:00:00",274.929077148438,274.985076904297,-2.40736722946167,8.21466445922852,274.933685302734,274.986389160156,0.954687356948853,6.12687108514365e-06,0,8.2020845413208,0.0301354397088289,0.186428740620613,120.509941101074
"911","2014-05-16 12:00:00",273.714172363281,274.370208740234,-22.4637660980225,-8.20731544494629,273.720367431641,274.376098632812,0.96777218580246,5.04069212183822e-05,0,11.3491744995117,0.0161073431372643,0.809425294399261,0.904452800750732
"912","2014-05-16 18:00:00",271.509857177734,273.519165039062,-27.1553688049316,-1.89740967750549,271.506866455078,273.516265869141,0.875295758247375,0,0,5.42522811889648,0.298836648464203,1.84004366397858,32.8033485412598
